number of voters,,number of lines,,"2002 Irish Elections, dublin north",,,,,,,,
43942,,19297,,,,,,,,,,
,,,,,,,,,,,,
,Fianna Fáil ,,,,,,,,,,,
1,0,0,9,10,0,0,0,0,0,0,12,11
1,0,0,9,0,0,10,0,0,0,0,12,11
1,0,0,9,0,0,0,0,0,10,0,11,12
6,0,0,9,0,0,12,0,0,0,0,10,11
2,0,0,9,0,0,11,0,0,0,0,10,12
1,0,0,9,0,0,0,12,0,0,0,10,11
5,0,0,9,12,0,0,0,0,0,0,11,10
3,0,0,9,0,0,12,0,0,0,0,11,10
1,0,0,9,11,0,0,0,0,0,0,12,10
1,0,0,9,0,0,11,0,0,0,0,12,10
1,0,0,9,0,0,0,0,11,0,0,12,10
1,0,0,0,9,0,10,0,0,0,0,12,11
5,0,0,0,9,0,12,0,0,0,0,10,11
2,0,0,0,9,0,11,0,0,0,0,10,12
2,0,0,11,9,0,0,0,0,0,0,10,12
7,0,0,11,9,0,0,0,0,0,0,12,10
3,0,0,12,9,0,0,0,0,0,0,11,10
3,0,0,0,9,0,12,0,0,0,0,11,10
2,0,0,0,9,0,11,0,0,0,0,12,10
1,0,0,0,0,9,0,0,10,0,0,12,11
1,0,0,12,0,9,0,0,0,0,0,11,10
1,0,0,0,11,9,0,0,0,0,0,12,10
1,0,0,10,0,0,9,0,0,0,0,12,11
1,0,0,0,0,0,9,0,10,0,0,12,11
4,0,0,0,12,0,9,0,0,0,0,10,11
2,0,0,12,0,0,9,0,0,0,0,10,11
1,11,0,0,0,0,9,0,0,0,0,10,12
1,0,0,0,11,0,9,0,0,0,0,10,12
6,0,0,12,0,0,9,0,0,0,0,11,10
4,0,0,0,11,0,9,0,0,0,0,12,10
4,0,0,0,12,0,9,0,0,0,0,11,10
1,0,0,0,0,0,9,11,0,0,0,12,10
1,0,0,0,11,0,0,9,0,0,0,10,12
1,0,0,11,0,0,0,9,0,0,0,12,10
1,0,0,0,12,0,0,9,0,0,0,11,10
1,0,0,0,0,0,12,9,0,0,0,11,10
1,0,0,0,0,0,11,0,9,0,0,10,12
1,0,0,12,0,0,0,0,9,0,0,10,11
1,0,0,0,12,0,0,0,9,0,0,10,11
1,0,0,12,0,0,0,0,9,0,0,11,10
1,0,0,0,10,0,0,0,0,9,0,11,12
1,0,0,0,0,0,10,0,0,9,0,11,12
1,0,0,0,0,0,0,10,0,9,0,12,11
3,0,0,12,0,0,0,0,0,9,0,10,11
1,0,0,0,0,0,12,0,0,9,0,10,11
1,0,0,0,12,0,0,0,0,9,0,10,11
1,0,0,12,0,0,0,0,0,9,0,11,10
1,12,0,0,0,0,0,0,0,9,0,11,10
1,10,0,0,11,0,0,0,0,0,0,9,12
1,0,10,0,0,0,11,0,0,0,0,9,12
15,0,0,10,0,0,12,0,0,0,0,9,11
5,0,0,10,0,0,11,0,0,0,0,9,12
3,0,0,10,11,0,0,0,0,0,0,9,12
2,0,0,10,0,0,0,0,0,11,0,9,12
2,0,0,10,0,0,0,0,0,12,0,9,11
1,0,0,10,0,0,0,11,0,0,0,9,12
1,0,0,10,12,0,0,0,0,0,0,9,11
13,0,0,0,10,0,12,0,0,0,0,9,11
4,0,0,12,10,0,0,0,0,0,0,9,11
2,0,0,0,10,0,11,0,0,0,0,9,12
2,0,0,11,10,0,0,0,0,0,0,9,12
1,0,0,0,10,0,0,11,0,0,0,9,12
1,0,0,0,0,10,0,11,0,0,0,9,12
1,0,0,0,0,10,11,0,0,0,0,9,12
4,0,0,12,0,0,10,0,0,0,0,9,11
1,0,0,0,0,0,10,0,0,12,0,9,11
1,0,0,0,0,0,10,12,0,0,0,9,11
1,0,0,11,0,0,10,0,0,0,0,9,12
1,0,0,0,0,0,10,11,0,0,0,9,12
1,0,0,0,0,0,10,0,0,11,0,9,12
1,0,0,0,0,0,10,0,11,0,0,9,12
1,0,0,0,0,0,0,10,0,11,0,9,12
1,0,0,0,0,0,11,10,0,0,0,9,12
1,0,0,11,0,0,0,10,0,0,0,9,12
1,0,0,0,0,0,11,0,10,0,0,9,12
1,0,0,0,0,0,11,0,0,10,0,9,12
1,0,0,11,0,0,0,0,0,10,0,9,12
1,0,0,0,11,0,0,0,0,10,0,9,12
12,0,0,11,0,0,12,0,0,0,0,9,10
11,0,0,11,12,0,0,0,0,0,0,9,10
7,0,0,12,0,0,11,0,0,0,0,9,10
7,0,0,12,11,0,0,0,0,0,0,9,10
4,0,0,11,0,0,0,0,0,12,0,9,10
4,0,0,0,11,0,12,0,0,0,0,9,10
3,0,0,0,12,0,11,0,0,0,0,9,10
2,0,0,0,0,0,0,11,0,12,0,9,10
1,0,0,12,0,0,0,0,11,0,0,9,10
1,12,0,0,0,0,0,11,0,0,0,9,10
1,0,0,0,0,0,11,12,0,0,0,9,10
1,0,0,0,11,0,0,12,0,0,0,9,10
1,0,0,0,11,0,0,0,12,0,0,9,10
1,0,0,0,0,0,0,12,0,11,0,9,10
1,0,0,0,0,0,12,0,0,11,0,9,10
2,10,0,12,0,0,0,0,0,0,0,11,9
1,10,0,0,12,0,0,0,0,0,0,11,9
1,10,0,0,0,0,0,11,0,0,0,12,9
1,0,10,0,0,0,11,0,0,0,0,12,9
1,0,10,11,0,0,0,0,0,0,0,12,9
12,0,0,10,11,0,0,0,0,0,0,12,9
7,0,0,10,12,0,0,0,0,0,0,11,9
3,0,0,10,0,0,12,0,0,0,0,11,9
2,0,0,10,0,0,0,0,0,11,0,12,9
2,0,0,10,0,0,11,0,0,0,0,12,9
2,0,0,10,0,0,0,0,0,12,0,11,9
7,0,0,11,10,0,0,0,0,0,0,12,9
5,0,0,12,10,0,0,0,0,0,0,11,9
3,0,0,0,10,0,0,0,11,0,0,12,9
1,0,0,0,10,0,0,11,0,0,0,12,9
1,0,0,0,10,0,0,0,0,12,0,11,9
5,0,0,12,0,0,10,0,0,0,0,11,9
4,0,0,0,12,0,10,0,0,0,0,11,9
4,0,0,11,0,0,10,0,0,0,0,12,9
4,0,0,0,11,0,10,0,0,0,0,12,9
1,0,0,0,0,0,10,11,0,0,0,12,9
1,0,0,0,0,11,10,0,0,0,0,12,9
2,0,0,0,12,0,0,10,0,0,0,11,9
2,0,0,0,11,0,0,10,0,0,0,12,9
1,0,0,11,0,0,0,10,0,0,0,12,9
1,0,0,0,0,0,11,10,0,0,0,12,9
1,0,0,0,0,0,0,0,10,12,0,11,9
1,0,0,11,0,0,0,0,10,0,0,12,9
4,0,0,12,0,0,0,0,0,10,0,11,9
1,0,0,0,0,0,0,0,11,10,0,12,9
1,0,0,0,0,0,0,12,0,10,0,11,9
1,0,0,0,11,0,0,0,0,10,0,12,9
10,0,0,12,11,0,0,0,0,0,0,10,9
9,0,0,11,0,0,12,0,0,0,0,10,9
8,0,0,11,12,0,0,0,0,0,0,10,9
7,0,0,12,0,0,11,0,0,0,0,10,9
5,0,0,0,12,0,11,0,0,0,0,10,9
3,0,0,0,11,0,12,0,0,0,0,10,9
3,0,0,12,0,0,0,0,11,0,0,10,9
2,12,0,0,0,0,0,0,11,0,0,10,9
1,11,0,0,0,0,0,0,0,12,0,10,9
1,0,0,12,0,0,0,11,0,0,0,10,9
1,0,0,0,0,0,11,12,0,0,0,10,9
1,0,0,11,0,0,0,12,0,0,0,10,9
1,0,0,0,0,0,12,11,0,0,0,10,9
1,0,0,0,0,0,11,0,0,12,0,10,9
1,0,0,0,11,0,0,12,0,0,0,10,9
1,0,12,0,0,0,11,0,0,0,0,10,9
1,0,0,0,0,0,12,0,11,0,0,10,9
1,0,0,0,12,0,0,11,0,0,0,10,9
1,0,0,0,11,0,0,0,12,0,0,10,9
1,9,10,0,0,0,12,0,0,0,0,0,11
1,9,10,11,0,0,0,0,0,0,0,0,12
2,9,0,10,0,0,12,0,0,0,0,0,11
2,9,0,10,0,0,11,0,0,0,0,0,12
2,9,0,10,0,0,0,11,0,0,0,0,12
1,9,0,10,11,0,0,0,0,0,0,0,12
1,9,0,10,0,0,0,0,0,12,0,0,11
7,9,0,0,10,0,12,0,0,0,0,0,11
2,9,0,12,10,0,0,0,0,0,0,0,11
1,9,0,0,10,0,0,0,0,12,0,0,11
1,9,0,0,10,0,0,11,0,0,0,0,12
1,9,0,0,0,10,12,0,0,0,0,0,11
1,9,0,0,0,0,10,11,0,0,0,0,12
1,9,0,0,12,0,10,0,0,0,0,0,11
1,9,0,0,0,0,10,12,0,0,0,0,11
2,9,0,0,0,0,12,10,0,0,0,0,11
1,9,0,0,12,0,0,10,0,0,0,0,11
1,9,0,0,0,0,0,10,0,12,0,0,11
1,9,0,0,0,0,0,10,0,11,0,0,12
1,9,0,12,0,0,0,10,0,0,0,0,11
2,9,0,0,12,0,0,0,0,10,0,0,11
2,9,0,0,0,0,0,11,0,10,0,0,12
1,9,0,12,0,0,0,0,0,10,0,0,11
1,9,0,0,0,0,11,0,0,10,0,0,12
1,9,0,0,0,0,0,0,0,12,10,0,11
1,9,0,0,0,0,0,0,0,11,10,0,12
1,9,0,0,0,0,0,12,0,0,10,0,11
6,9,0,11,0,0,12,0,0,0,0,0,10
4,9,0,0,12,0,11,0,0,0,0,0,10
4,9,0,12,0,0,11,0,0,0,0,0,10
2,9,0,0,0,0,11,0,12,0,0,0,10
2,9,0,0,0,0,0,11,0,12,0,0,10
1,9,0,0,0,0,0,11,0,0,12,0,10
1,9,0,12,0,0,0,11,0,0,0,0,10
1,9,0,0,0,0,11,12,0,0,0,0,10
1,9,0,0,12,0,0,0,0,0,11,0,10
5,0,9,10,0,0,12,0,0,0,0,0,11
1,0,9,10,0,0,11,0,0,0,0,0,12
1,0,9,10,11,0,0,0,0,0,0,0,12
3,0,9,0,10,0,12,0,0,0,0,0,11
1,0,9,0,10,0,11,0,0,0,0,0,12
1,0,9,0,12,0,10,0,0,0,0,0,11
1,0,9,0,0,0,10,0,0,0,12,0,11
2,0,9,12,0,0,0,0,10,0,0,0,11
1,0,9,12,0,0,11,0,0,0,0,0,10
1,0,9,0,12,0,11,0,0,0,0,0,10
3,10,0,9,0,0,0,0,0,11,0,0,12
3,10,0,9,0,0,12,0,0,0,0,0,11
2,10,0,9,0,0,0,0,0,12,0,0,11
1,10,0,9,12,0,0,0,0,0,0,0,11
1,10,0,9,0,0,11,0,0,0,0,0,12
1,0,10,9,0,0,12,0,0,0,0,0,11
159,0,0,9,10,0,12,0,0,0,0,0,11
41,0,0,9,10,0,11,0,0,0,0,0,12
3,0,0,9,10,0,0,0,0,12,0,0,11
1,12,0,9,10,0,0,0,0,0,0,0,11
1,0,0,9,10,0,0,12,0,0,0,0,11
1,0,0,9,10,0,0,0,12,0,0,0,11
1,0,0,9,10,0,0,0,11,0,0,0,12
1,0,0,9,10,0,0,0,0,0,11,0,12
1,0,0,9,10,0,0,11,0,0,0,0,12
1,0,0,9,0,10,12,0,0,0,0,0,11
9,0,0,9,12,0,10,0,0,0,0,0,11
4,0,0,9,11,0,10,0,0,0,0,0,12
2,0,0,9,0,0,10,0,12,0,0,0,11
1,0,0,9,0,0,10,0,0,11,0,0,12
1,12,0,9,0,0,10,0,0,0,0,0,11
2,0,0,9,0,0,0,10,0,11,0,0,12
2,0,0,9,0,0,12,10,0,0,0,0,11
2,0,0,9,12,0,0,10,0,0,0,0,11
1,0,0,9,0,0,0,10,0,12,0,0,11
2,0,0,9,11,0,0,0,10,0,0,0,12
2,0,0,9,0,0,12,0,10,0,0,0,11
1,0,0,9,12,0,0,0,10,0,0,0,11
1,0,0,9,0,0,11,0,10,0,0,0,12
7,0,0,9,0,0,12,0,0,10,0,0,11
4,0,0,9,0,0,11,0,0,10,0,0,12
2,0,0,9,12,0,0,0,0,10,0,0,11
1,0,0,9,11,0,0,0,0,10,0,0,12
1,0,0,9,0,0,11,0,0,0,10,0,12
1,0,0,9,0,0,12,0,0,0,10,0,11
33,0,0,9,12,0,11,0,0,0,0,0,10
23,0,0,9,11,0,12,0,0,0,0,0,10
4,0,0,9,11,0,0,0,0,12,0,0,10
3,0,0,9,0,0,12,11,0,0,0,0,10
2,0,0,9,0,0,12,0,11,0,0,0,10
2,0,0,9,0,0,11,0,0,12,0,0,10
2,0,0,9,0,0,0,11,0,12,0,0,10
1,12,0,9,0,0,11,0,0,0,0,0,10
1,0,0,9,12,0,0,0,0,11,0,0,10
1,0,0,9,12,0,0,11,0,0,0,0,10
1,0,0,9,0,0,12,0,0,11,0,0,10
1,12,0,9,0,0,0,0,0,11,0,0,10
1,11,0,9,0,0,12,0,0,0,0,0,10
1,0,0,9,0,0,0,12,0,11,0,0,10
1,0,0,9,0,0,11,0,0,0,12,0,10
1,11,0,9,0,0,0,0,0,12,0,0,10
2,10,0,0,9,0,12,0,0,0,0,0,11
1,10,0,0,9,0,0,0,0,11,0,0,12
1,10,0,0,9,0,11,0,0,0,0,0,12
1,0,10,12,9,0,0,0,0,0,0,0,11
83,0,0,10,9,0,12,0,0,0,0,0,11
20,0,0,10,9,0,11,0,0,0,0,0,12
2,0,0,10,9,0,0,12,0,0,0,0,11
2,0,0,10,9,0,0,0,0,12,0,0,11
1,11,0,10,9,0,0,0,0,0,0,0,12
2,0,0,0,9,10,11,0,0,0,0,0,12
16,0,0,12,9,0,10,0,0,0,0,0,11
3,0,0,0,9,0,10,0,0,11,0,0,12
1,0,0,0,9,0,10,0,0,12,0,0,11
1,12,0,0,9,0,10,0,0,0,0,0,11
1,0,0,0,9,0,11,10,0,0,0,0,12
1,0,0,12,9,0,0,10,0,0,0,0,11
1,0,0,0,9,0,12,10,0,0,0,0,11
5,0,0,11,9,0,0,0,10,0,0,0,12
3,0,0,0,9,0,11,0,10,0,0,0,12
1,0,0,0,9,0,12,0,10,0,0,0,11
1,0,0,12,9,0,0,0,10,0,0,0,11
2,0,0,0,9,0,12,0,0,10,0,0,11
2,0,0,0,9,0,11,0,0,10,0,0,12
1,0,12,0,9,0,0,0,0,10,0,0,11
1,12,0,0,9,0,0,0,0,10,0,0,11
1,0,0,11,9,0,0,0,0,0,10,0,12
1,0,0,12,9,0,0,0,0,0,10,0,11
1,0,0,0,9,0,12,0,0,0,10,0,11
47,0,0,12,9,0,11,0,0,0,0,0,10
19,0,0,11,9,0,12,0,0,0,0,0,10
4,0,0,0,9,0,12,11,0,0,0,0,10
3,0,0,11,9,0,0,0,0,12,0,0,10
2,0,0,12,9,0,0,0,11,0,0,0,10
2,0,0,0,9,0,11,0,0,12,0,0,10
1,0,0,0,9,0,0,0,12,11,0,0,10
1,0,0,12,9,0,0,0,0,11,0,0,10
1,0,0,0,9,0,11,0,12,0,0,0,10
1,0,12,0,9,0,0,0,11,0,0,0,10
1,11,0,0,9,0,0,0,0,12,0,0,10
1,0,0,0,9,12,0,11,0,0,0,0,10
1,11,0,0,9,0,12,0,0,0,0,0,10
1,0,0,0,9,0,0,11,0,12,0,0,10
1,10,0,0,12,9,0,0,0,0,0,0,11
4,0,0,10,0,9,12,0,0,0,0,0,11
1,0,0,10,0,9,0,0,0,12,0,0,11
3,0,0,0,10,9,11,0,0,0,0,0,12
3,0,0,12,10,9,0,0,0,0,0,0,11
3,0,0,12,0,9,10,0,0,0,0,0,11
1,0,0,11,0,9,10,0,0,0,0,0,12
1,0,0,0,12,9,10,0,0,0,0,0,11
1,0,0,0,0,9,0,10,11,0,0,0,12
1,12,0,0,0,9,0,10,0,0,0,0,11
1,0,0,0,0,9,0,0,12,10,0,0,11
3,0,0,11,0,9,12,0,0,0,0,0,10
2,0,0,11,12,9,0,0,0,0,0,0,10
1,11,0,0,0,9,12,0,0,0,0,0,10
1,0,0,0,12,9,0,0,0,11,0,0,10
1,11,0,0,0,9,0,12,0,0,0,0,10
1,0,0,0,12,9,11,0,0,0,0,0,10
1,0,0,0,0,9,12,0,11,0,0,0,10
1,0,0,12,0,9,0,0,0,11,0,0,10
1,12,0,0,11,9,0,0,0,0,0,0,10
1,0,0,0,0,9,11,0,0,12,0,0,10
1,10,0,0,11,0,9,0,0,0,0,0,12
1,10,0,12,0,0,9,0,0,0,0,0,11
8,0,0,10,12,0,9,0,0,0,0,0,11
5,0,0,10,11,0,9,0,0,0,0,0,12
2,0,0,10,0,0,9,0,11,0,0,0,12
1,0,0,10,0,0,9,0,0,11,0,0,12
1,11,0,10,0,0,9,0,0,0,0,0,12
2,0,0,0,10,0,9,0,0,12,0,0,11
1,0,0,11,10,0,9,0,0,0,0,0,12
1,0,0,0,10,0,9,0,0,11,0,0,12
1,0,0,12,10,0,9,0,0,0,0,0,11
1,0,0,12,0,10,9,0,0,0,0,0,11
1,0,0,0,0,0,9,10,0,12,0,0,11
1,0,0,12,0,0,9,10,0,0,0,0,11
1,0,0,11,0,0,9,10,0,0,0,0,12
2,0,0,12,0,0,9,0,0,10,0,0,11
1,0,0,0,0,0,9,12,0,10,0,0,11
1,0,0,0,11,0,9,0,0,10,0,0,12
1,0,0,11,0,0,9,0,0,0,10,0,12
1,0,0,0,0,12,9,0,0,0,10,0,11
13,0,0,11,12,0,9,0,0,0,0,0,10
11,0,0,12,11,0,9,0,0,0,0,0,10
4,0,0,11,0,0,9,0,0,12,0,0,10
2,0,0,12,0,0,9,0,0,11,0,0,10
2,0,0,0,11,0,9,0,0,12,0,0,10
1,0,0,0,11,12,9,0,0,0,0,0,10
1,0,0,0,12,0,9,0,0,11,0,0,10
1,0,0,0,12,0,9,11,0,0,0,0,10
1,12,0,0,0,0,9,11,0,0,0,0,10
1,0,0,11,0,0,9,12,0,0,0,0,10
1,11,0,12,0,0,9,0,0,0,0,0,10
1,0,0,0,0,0,9,11,0,12,0,0,10
1,0,0,11,0,0,9,0,12,0,0,0,10
2,10,0,0,0,0,12,9,0,0,0,0,11
2,10,0,12,0,0,0,9,0,0,0,0,11
1,10,0,0,0,0,0,9,0,11,0,0,12
1,10,0,0,0,0,11,9,0,0,0,0,12
2,0,0,10,0,0,12,9,0,0,0,0,11
2,0,0,10,12,0,0,9,0,0,0,0,11
1,0,0,10,0,0,0,9,0,12,0,0,11
2,0,0,0,10,0,0,9,0,11,0,0,12
1,12,0,0,10,0,0,9,0,0,0,0,11
1,0,0,0,10,0,11,9,0,0,0,0,12
1,11,0,0,10,0,0,9,0,0,0,0,12
1,0,0,0,0,0,10,9,0,12,0,0,11
1,0,0,0,11,0,10,9,0,0,0,0,12
1,0,0,0,0,0,10,9,0,11,0,0,12
1,0,0,0,12,0,10,9,0,0,0,0,11
1,0,0,11,0,0,10,9,0,0,0,0,12
1,0,0,12,0,0,0,9,0,10,0,0,11
1,0,0,0,0,0,11,9,0,10,0,0,12
1,12,0,0,0,0,0,9,0,10,0,0,11
1,11,0,0,0,0,0,9,0,10,0,0,12
1,0,0,0,0,0,0,9,0,10,12,0,11
1,0,0,0,0,0,12,9,0,10,0,0,11
4,0,0,11,0,0,12,9,0,0,0,0,10
3,12,0,0,0,0,11,9,0,0,0,0,10
2,0,0,0,0,0,12,9,0,11,0,0,10
2,0,0,12,0,0,0,9,0,11,0,0,10
2,0,0,0,0,0,11,9,0,12,0,0,10
1,11,12,0,0,0,0,9,0,0,0,0,10
1,0,0,12,0,0,11,9,0,0,0,0,10
1,0,0,11,12,0,0,9,0,0,0,0,10
1,11,0,0,0,0,0,9,0,12,0,0,10
1,0,0,0,11,0,12,9,0,0,0,0,10
1,0,0,0,12,0,11,9,0,0,0,0,10
1,0,0,12,0,0,0,9,0,0,11,0,10
1,0,0,11,0,0,0,9,0,12,0,0,10
1,0,0,12,11,0,0,9,0,0,0,0,10
1,0,10,0,0,0,12,0,9,0,0,0,11
1,0,10,11,0,0,0,0,9,0,0,0,12
8,0,0,10,0,0,12,0,9,0,0,0,11
7,0,0,10,0,0,11,0,9,0,0,0,12
2,0,0,10,12,0,0,0,9,0,0,0,11
4,0,0,0,10,0,12,0,9,0,0,0,11
2,0,0,12,10,0,0,0,9,0,0,0,11
1,0,0,0,10,0,0,0,9,12,0,0,11
1,0,0,11,10,0,0,0,9,0,0,0,12
1,0,0,0,0,10,11,0,9,0,0,0,12
3,0,0,12,0,0,10,0,9,0,0,0,11
1,0,0,0,12,0,10,0,9,0,0,0,11
1,0,0,11,0,0,10,0,9,0,0,0,12
1,0,0,0,0,0,12,10,9,0,0,0,11
1,0,0,12,0,0,0,0,9,10,0,0,11
1,0,0,0,12,0,0,0,9,0,10,0,11
1,0,0,0,0,0,12,0,9,0,10,0,11
6,0,0,12,0,0,11,0,9,0,0,0,10
4,0,0,12,11,0,0,0,9,0,0,0,10
4,0,0,0,12,0,11,0,9,0,0,0,10
3,0,0,11,0,0,12,0,9,0,0,0,10
2,0,0,11,12,0,0,0,9,0,0,0,10
2,0,0,0,11,0,12,0,9,0,0,0,10
2,0,0,0,12,0,0,0,9,11,0,0,10
1,0,0,11,0,0,0,0,9,0,12,0,10
1,0,0,0,0,0,11,0,9,0,12,0,10
1,12,0,0,0,0,11,0,9,0,0,0,10
1,0,0,12,0,0,0,0,9,0,11,0,10
1,0,0,12,0,0,0,0,9,11,0,0,10
1,0,12,0,11,0,0,0,9,0,0,0,10
2,10,0,0,0,0,11,0,0,9,0,0,12
1,10,0,0,0,0,0,0,0,9,11,0,12
8,0,0,10,0,0,12,0,0,9,0,0,11
3,0,0,10,0,0,11,0,0,9,0,0,12
2,0,0,10,11,0,0,0,0,9,0,0,12
2,0,0,10,12,0,0,0,0,9,0,0,11
6,0,0,11,10,0,0,0,0,9,0,0,12
5,0,0,0,10,0,12,0,0,9,0,0,11
4,0,0,12,10,0,0,0,0,9,0,0,11
4,0,0,0,10,0,11,0,0,9,0,0,12
6,0,0,12,0,0,10,0,0,9,0,0,11
2,0,0,0,12,0,10,0,0,9,0,0,11
1,11,0,0,0,0,10,0,0,9,0,0,12
3,11,0,0,0,0,0,10,0,9,0,0,12
1,0,0,0,0,0,12,10,0,9,0,0,11
1,0,0,0,0,0,11,0,10,9,0,0,12
7,0,0,12,0,0,11,0,0,9,0,0,10
4,0,0,11,12,0,0,0,0,9,0,0,10
3,0,0,12,11,0,0,0,0,9,0,0,10
2,11,0,0,0,0,12,0,0,9,0,0,10
2,0,0,0,12,0,11,0,0,9,0,0,10
2,0,0,11,0,0,0,0,12,9,0,0,10
2,0,0,0,11,0,12,0,0,9,0,0,10
1,0,0,12,0,0,0,11,0,9,0,0,10
1,12,0,0,0,0,11,0,0,9,0,0,10
1,12,0,0,0,0,0,11,0,9,0,0,10
1,0,0,11,0,0,12,0,0,9,0,0,10
1,10,0,0,0,0,0,0,0,11,9,0,12
3,0,0,10,0,0,12,0,0,0,9,0,11
2,0,0,10,12,0,0,0,0,0,9,0,11
1,0,0,10,11,0,0,0,0,0,9,0,12
2,0,0,0,10,0,12,0,0,0,9,0,11
2,0,0,12,10,0,0,0,0,0,9,0,11
1,0,0,0,10,0,11,0,0,0,9,0,12
1,0,0,0,10,0,0,0,0,11,9,0,12
2,0,0,11,0,0,10,0,0,0,9,0,12
1,0,0,0,0,0,11,0,10,0,9,0,12
1,0,0,12,0,0,0,0,10,0,9,0,11
3,0,0,0,12,0,11,0,0,0,9,0,10
3,0,0,12,11,0,0,0,0,0,9,0,10
1,0,0,0,12,0,0,0,0,11,9,0,10
1,11,0,0,0,0,0,0,0,12,9,0,10
1,0,0,0,0,0,0,11,0,12,9,0,10
1,0,0,11,12,0,0,0,0,0,9,0,10
1,0,0,12,0,0,0,0,11,0,9,0,10
10,10,0,0,0,0,0,11,0,12,0,0,9
9,10,0,11,0,0,12,0,0,0,0,0,9
4,10,0,0,11,0,12,0,0,0,0,0,9
3,10,0,0,0,0,0,12,0,11,0,0,9
2,10,0,11,12,0,0,0,0,0,0,0,9
2,10,0,12,0,0,11,0,0,0,0,0,9
2,10,0,12,0,0,0,0,0,11,0,0,9
2,10,0,0,11,0,0,0,0,12,0,0,9
2,10,0,11,0,0,0,0,0,12,0,0,9
1,10,0,0,12,0,0,11,0,0,0,0,9
1,10,0,11,0,0,0,12,0,0,0,0,9
1,10,0,0,0,11,0,12,0,0,0,0,9
1,0,10,12,0,0,11,0,0,0,0,0,9
44,0,0,10,11,0,12,0,0,0,0,0,9
27,0,0,10,12,0,11,0,0,0,0,0,9
4,0,0,10,12,0,0,0,0,11,0,0,9
3,0,0,10,0,0,11,0,0,12,0,0,9
2,0,0,10,0,0,11,12,0,0,0,0,9
2,0,0,10,11,0,0,12,0,0,0,0,9
2,0,12,10,0,0,11,0,0,0,0,0,9
2,0,0,10,12,0,0,0,11,0,0,0,9
2,12,0,10,0,0,11,0,0,0,0,0,9
2,11,0,10,0,0,0,12,0,0,0,0,9
2,0,0,10,0,0,0,11,0,12,0,0,9
2,0,0,10,0,0,11,0,0,0,12,0,9
1,0,0,10,0,0,0,12,0,0,11,0,9
1,11,0,10,12,0,0,0,0,0,0,0,9
1,0,0,10,11,0,0,0,0,12,0,0,9
1,11,0,10,0,0,12,0,0,0,0,0,9
1,0,0,10,0,0,0,12,0,11,0,0,9
1,0,0,10,0,0,12,0,11,0,0,0,9
1,12,0,10,0,0,0,0,0,11,0,0,9
1,0,0,10,0,0,12,11,0,0,0,0,9
1,12,0,10,0,0,0,11,0,0,0,0,9
1,12,0,10,11,0,0,0,0,0,0,0,9
1,0,0,10,0,11,0,0,0,12,0,0,9
1,0,0,10,12,0,0,11,0,0,0,0,9
28,0,0,11,10,0,12,0,0,0,0,0,9
23,0,0,12,10,0,11,0,0,0,0,0,9
6,0,0,12,10,0,0,0,0,11,0,0,9
3,0,0,0,10,0,11,0,0,12,0,0,9
2,11,0,0,10,0,12,0,0,0,0,0,9
2,0,0,0,10,0,0,11,0,12,0,0,9
1,0,0,11,10,0,0,0,0,0,12,0,9
1,12,0,11,10,0,0,0,0,0,0,0,9
1,0,0,0,10,0,0,12,0,11,0,0,9
1,11,0,0,10,0,0,0,0,12,0,0,9
